Number of Clients,Total turn-around time,Average turn-around time
50,473475.0,9469.5
50,474964.0,9499.28
50,476453.0,9529.06
50,477942.0,9558.84
50,479431.0,9588.62
50,480920.0,9618.4
50,482409.0,9648.18
50,483898.0,9677.96
50,485387.0,9707.74
50,486876.0,9737.52
50,488365.0,9767.3
50,489854.0,9797.08
50,491343.0,9826.86
50,492832.0,9856.64
50,494321.0,9886.42
50,495810.0,9916.2
50,497299.0,9945.98
50,498788.0,9975.76
50,500277.0,10005.54
50,501766.0,10035.32
50,503255.0,10065.1
50,504744.0,10094.88
50,506233.0,10124.66
50,507722.0,10154.44
50,509211.0,10184.22
50,510700.0,10214.0
50,512189.0,10243.78
50,513678.0,10273.56
50,515167.0,10303.34
50,516656.0,10333.12
50,518145.0,10362.9
50,519634.0,10392.68
50,521123.0,10422.46
50,522612.0,10452.24
50,524101.0,10482.02
50,525590.0,10511.8
50,527079.0,10541.58
50,528568.0,10571.36
50,530057.0,10601.14
50,531546.0,10630.92
50,533035.0,10660.7
50,534524.0,10690.48
50,536013.0,10720.26
50,537502.0,10750.04
50,538991.0,10779.82
50,540480.0,10809.6
50,541969.0,10839.38
50,543458.0,10869.16
50,544947.0,10898.94
50,546436.0,10928.72
50,547925.0,10958.5
50,549414.0,10988.28
50,550903.0,11018.06
50,552392.0,11047.84
50,553881.0,11077.62
50,555370.0,11107.4
50,556859.0,11137.18
50,558348.0,11166.96
50,559837.0,11196.74
50,561326.0,11226.52
50,562815.0,11256.3
50,564304.0,11286.08
50,565793.0,11315.86
50,567282.0,11345.64
50,568771.0,11375.42
50,570260.0,11405.2
50,571749.0,11434.98
50,573238.0,11464.76
50,574727.0,11494.54
50,576216.0,11524.32
50,577705.0,11554.1
50,579194.0,11583.88
50,580683.0,11613.66
50,582172.0,11643.44
50,583661.0,11673.22
50,585150.0,11703.0
50,586639.0,11732.78
50,588128.0,11762.56
50,589617.0,11792.34
50,591106.0,11822.12
50,592595.0,11851.9
50,594084.0,11881.68
50,595573.0,11911.46
50,597062.0,11941.24
50,598551.0,11971.02
50,600040.0,12000.8
50,601529.0,12030.58
50,603018.0,12060.36
50,604507.0,12090.14
50,605996.0,12119.92
50,607485.0,12149.7
50,608974.0,12179.48
50,610463.0,12209.26
50,611952.0,12239.04
50,613441.0,12268.82
50,614930.0,12298.6
50,616419.0,12328.38
50,617908.0,12358.16
50,619397.0,12387.94
50,620886.0,12417.72
50,622375.0,12447.5
50,623864.0,12477.28
50,625353.0,12507.06
50,626842.0,12536.84
50,628331.0,12566.62
50,629820.0,12596.4
50,631309.0,12626.18
50,632798.0,12655.96
50,634287.0,12685.74
50,635776.0,12715.52
50,637265.0,12745.3
50,638754.0,12775.08
50,640243.0,12804.86
50,641732.0,12834.64
50,643221.0,12864.42
50,644710.0,12894.2
50,646199.0,12923.98
50,647688.0,12953.76
50,649177.0,12983.54
50,650666.0,13013.32
50,652155.0,13043.1
50,653644.0,13072.88
50,655133.0,13102.66
50,656622.0,13132.44
50,658111.0,13162.22
50,659600.0,13192.0
50,661089.0,13221.78
50,662578.0,13251.56
50,664067.0,13281.34
50,665556.0,13311.12
50,667045.0,13340.9
50,668534.0,13370.68
50,670023.0,13400.46
50,671512.0,13430.24
50,673001.0,13460.02
50,674490.0,13489.8
50,675979.0,13519.58
50,677468.0,13549.36
50,678957.0,13579.14
50,680446.0,13608.92
50,681935.0,13638.7
50,683424.0,13668.48
50,684913.0,13698.26
50,686402.0,13728.04
50,687891.0,13757.82
50,689380.0,13787.6
50,690869.0,13817.38
50,692358.0,13847.16
50,693847.0,13876.94
50,695336.0,13906.72
50,696825.0,13936.5
50,698314.0,13966.28
50,699803.0,13996.06
50,701292.0,14025.84
50,702781.0,14055.62
50,704270.0,14085.4
50,705759.0,14115.18
50,707248.0,14144.96
50,708737.0,14174.74
50,710226.0,14204.52
50,711715.0,14234.3
50,713204.0,14264.08
50,714693.0,14293.86
50,716182.0,14323.64
50,717671.0,14353.42
50,719160.0,14383.2
50,720649.0,14412.98
50,722138.0,14442.76
50,723627.0,14472.54
50,725116.0,14502.32
50,726605.0,14532.1
50,728094.0,14561.88
50,729583.0,14591.66
50,731072.0,14621.44
50,732561.0,14651.22
50,734050.0,14681.0
50,735539.0,14710.78
50,737028.0,14740.56
50,738517.0,14770.34
50,740006.0,14800.12
50,741495.0,14829.9
50,742984.0,14859.68
50,744473.0,14889.46
50,745962.0,14919.24
50,747451.0,14949.02
50,748940.0,14978.8
50,750429.0,15008.58
50,751918.0,15038.36
50,753407.0,15068.14
50,754896.0,15097.92
50,756385.0,15127.7
50,757874.0,15157.48
50,759363.0,15187.26
50,760852.0,15217.04
50,762341.0,15246.82
50,763830.0,15276.6
50,765319.0,15306.38
50,766808.0,15336.16
50,768297.0,15365.94
50,769786.0,15395.72
50,771275.0,15425.5
50,772764.0,15455.28
50,774253.0,15485.06
50,775742.0,15514.84
50,777231.0,15544.62
50,778720.0,15574.4
50,780209.0,15604.18
50,781698.0,15633.96
50,783187.0,15663.74
50,784676.0,15693.52
50,786165.0,15723.3
50,787654.0,15753.08
50,789143.0,15782.86
50,790632.0,15812.64
50,792121.0,15842.42
50,793610.0,15872.2
50,795099.0,15901.98
50,796588.0,15931.76
50,798077.0,15961.54
50,799566.0,15991.32
50,801055.0,16021.1
50,802544.0,16050.88
50,804033.0,16080.66
50,805522.0,16110.44
50,807011.0,16140.22
